a,a:一|d:一道
side-line production,n:农副产品
sidelong glance,n:侧目
siderite,n:陨铁
sidescuttle,n:舷窗
sideshow,"n:杂耍,余兴"
sideslip,n:私生
sidesplitting,a:捧腹大笑
sidestep,"v:闪避,闪身|n:台阶"
sidestroke,"n:侧泳,侧击"
sidesway,v:摇摆
sideswipe,v:掠过
sidetrack,"v:避让,扣压,转变,拖延|n:侧线"
sidewalk,"n:人行道,便道,走道,人行路"
sideward,"a:旁,横"
sidewards,"d:横,斜"
sideway,"d:小路,岔路,人行道"
sideway glances,v:横波
sideways,"d:横,侧身|a:横|v:侧身|n:侧面"
sidewind,a:间接
sidewinder,"n:响尾蛇,侧击"
sidi,n:黑人
siding,"n:侧线,支线,偏袒,壁板,挡板,附和,岔道,支持"
siding-to-siding block,n:区间
siege,"n:围攻,包围,强求,排泄物,说服|v:围攻,包围"
sienna,n:赭色
sierra,"n:岭,山区,马鲛"
sierra leone,"n:狮子山,塞拉利昂"
siesta,"n:午休,午睡|v:午睡"
sieve,"n:筛,筛子|v:筛选,筛"
sieving,"v:过筛,筛分|n:过筛"
sieze,v:缴获
sift,"v:筛,筛选,精选,筛分,过筛,淘汰,罗"
sift out,"v:淘汰,过筛,精选"
sifter,"n:罗,筛网,筛子,罗圈,筛,滤器|v:筛"
sifting,"n:过筛,筛分|v:过筛"
siftings,n:杂质
sigh,v:叹|n:叹气
sigh deeply,"v:长吁短叹,长叹"
sigh in admiration,v:叹羡
sigh in despair,v:唉声叹气
sigh in sympathy,v:叹惋
sigh incessantly,v:长吁短叹
sigh with emotion,"v:感喟,感慨万端"
sigh with feeling,"v:感喟,感叹"
sigh with regret,"v:叹惜,慨叹"
sight,"n:景象,情景,视力,视觉,景色|v:出示,观测"
sight bead,n:准星
sight line,n:视线
sighting,n:目睹
sighting piece,n:目镜
sightless,"a:瞎,盲"
sights as signal,n:灯标
sightsee,"v:游览,参观"
sight-see,"v:游览,观光"
sightseeing,"n:游览,出游,观光"
sightseer,"n:观光客,观光者,游人,游客"
sightsing,v:视唱
sightsinging,v:视唱|n:视唱
sigmoid,a:乙状结肠
sigmoid flexure,n:乙状结肠
sign,n:迹象|v:使眼色
sign for,n:签收
sign in,v:签到
sign in despair,n:咳声叹气
sign language,"n:亚当,哑语"
sign manual,"n:特征,特性"
sign of division,n:除号
sign of divisor,n:除号
sign of evolution,n:根号
sign of life,n:人烟
sign of shame,n:愧色
sign of subtraction,n:减号
sign on,"v:签字,签名"
sign one's name,"v:花押,签名,署名"
sign post,v:标杆
sign up,v:报名
signal,"n:信号,讯号|v:预示"
signal beacon,n:信号灯
signal contributions,n:丰功伟绩
signal corps,n:通信兵
signal fire,"n:烽火,烽烟"
signal fire platform,n:烽火台
signal flare,n:信号弹
signal gun,n:信号枪
signal lamp,n:信号灯
signal light,n:信号弹
signal of telecommunication,n:电信号
signal station,n:望楼
signaler,n:信号机
signalize,"v:显示,表明"
signally,"d:突出,显著,非常"
signalman,"n:通信兵,司号员"
signatory state,n:缔约国
signature,"n:签名,特征,象征,署名,押|v:押"
signboard,"n:幌子,招牌,市招,布告板,广告牌"
signet,"n:印记,私章,印章,印,手戳,图章,影像"
significance,"n:意义,重要,重要性,重大,意味深长,意味,旨趣,紧要,谛,义,关系,味"
significant,"a:重要,重大,有意思|v:有意思"
signification,"n:意义,含义,含意"
signify,"v:表示,意味着,意味,要紧,预示,装腔作势,代表,示,象征,装模作样"
signify little,v:无足轻重
signor,"n:绅士,贵族"
signora,n:夫人
signore,"n:贵族,绅士"
signorina,"n:姑娘,少女"
signorino,n:少年
signory,n:主权
signpost,"n:路标,指路牌,路牌"
signs of embarrassment,n:窘态
signs of recovery,n:起色
sikkim,n:锡金
sil,n:傻子
sile,v:产卵
silence,"n:沉默,寂静,肃静,无声,沉静,停止,忘却|i:嘘,喂"
silence reigns supreme,n:万籁无声
silencer,"n:消音器,消声器,灭音器"
silent,"a:沉默,无声,寂静,静,寂然,默然,蔫不出溜,哑然,蔫不唧,蔫不溜|v:无声"
silent film,n:无声片
silent laughing,n:哑笑
silent service,n:海军
silently,"d:默默,不声不响,默默无言,默然,闷头儿,哑然,寂然"
silesia,n:亚麻布
silex,n:石英玻璃
silhouette,"n:侧影,轮廓,黑影,剪影,影像"
silica,"n:硅石,二氧化硅"
silica brick,n:硅砖
silica bricks,n:硅砖
silicate,n:硅酸盐
silicle,n:角
silicon,"n:硅,矽"
silicon acid,n:硅酸
silicon carbide,n:金刚砂
silicon control,n:可控硅
silicon controlled rectifier,n:可控硅
silicon iron,n:硅钢
silicon pellet,n:硅片
silicon plate,n:硅片
silicon rubber,n:硅橡胶
silicon slice,n:硅片
silicon steel sheet,n:硅钢片
silicon valley,n:硅谷
silicon wafer,n:硅片
silicone,n:硅酮
silicone rubber,n:硅橡胶
silicosis,"n:矽肺,硅肺"
silikil,n:硅酸盐
silk,"n:丝绸,丝,降落伞,绸料,真丝,生丝,蚕丝,缎,丝织品,绸,绢,柞绢,绸缎,柞绸,绢花,柞丝绸"
silk banner,n:锦旗
silk book,n:绢本
silk braid,"n:绦子,丝带,绦"
silk cloth,n:丝绸
silk cotton,n:攀枝花
silk fabric,"n:绸,绸缎,绸料"
silk fabric paper,n:绸纹纸
silk fabrics,n:绸缎
silk fishing net,v:丝网
silk floss,"n:褚,绵子,绵,丝棉,纩"
silk flower,n:绢花
silk goods,n:绸缎
silk knit goods,n:丝织品
silk manufacturing,v:丝织
silk moth,n:蚕蛾
silk parasol,n:绸伞
silk reeling,v:缫丝
silk ribbon,n:丝带
silk road,n:丝绸之路
silk rope,n:缴
silk route,n:丝绸之路
silk sash,n:丝带
silk scroll,n:绢本
silk spinning,v:绢纺
silk string,n:丝弦
silk tassel,n:纶
silk thread,n:丝线
silk tree,n:合欢
silk wadding,"v:褚,丝棉"
silk weaving,v:丝织
silk worm,n:蟓
silk yarn,n:丝线
silk-cloth painting,n:帛画
silks,n:帛
silk-stocking,a:贵族
silkworm,"n:蚕,桑蚕,家蚕"
silk-worm,n:蚕宝宝
silkworm chrysalis,n:蚕蛹
silkworm chrysalis oil,n:蚕蛹油
silkworm cocoon,n:纩
silkworm egg,n:蚕种
silkworm raiser,n:蚕农
silkworm seed,n:蚕子
silkworm-egg card,n:蚕纸
sill,"n:窗台,门槛,梁,岩层,槛,踏板,基石"
siller,"n:银,金钱"
sillicosis,n:矽肺
silliness,n:愚蠢
sillver,n:银
silly,"a:傻,愚蠢,无聊,蠢,傻头傻脑,痴|n:蠢货,蠢驴"
silly fellow,n:蠢货
silly talk,n:傻话
silly thoughts,n:痴想
silly wish,n:痴心
silo,"n:地窖,竖井"
silt,"n:淤泥,泥沙|v:淤积"
silurian,"n:志留纪,志留人,志留系"
silva,"n:林区,丛林"
silver,"n:银,银器,银币,白银,银子,钱,银两|v:镀银"
silver award,n:银奖
silver bullets,n:高招
silver carp,n:鲢鱼
silver chain,n:刺槐
silver coating,v:镀银
silver coin,"n:洋,毫子"
silver dollar,"n:大头,现大洋,光洋,大洋,现洋钱,献辞"
silver fir,n:银杉
silver fox,n:玄狐
silver gray,"n:银灰色,银灰"
silver medal winner,n:亚军
silver needle,n:银针
silver nitrate,n:硝酸银
silver ore,n:银矿
silver perch,n:石首鱼
silver pheasant,n:白鹇
silver plating,v:镀银
silver screen,"n:银幕,电影界"
silver standard,n:银本位
silver storm,n:冰雹
silver thaw,n:冻雨
silverfish,"n:蠹鱼,衣鱼,银鱼"
silverfish moths,n:衣鱼
silver-grey,n:银灰色
silveriness,"n:银白,声如银铃,银色,银光"
silvering,"n:包银,镀银|v:镀银|a:镀银"
silversmith,n:银匠
silverware,n:银器
silverware shop,n:银楼
silvery,a:银白
silvery grey,n:银灰
silvery white,n:银白色
silviculture,n:造林
silviculturist,n:林学家
simian,"n:类人猿,猿"
similar,"a:类似,同样,差不多,同,同类,近似,齐|v:相仿,近似"
similar figures,n:相似形
similar to,"a:似,如同"
similarity,"n:相似,相像,相似性,类似,共性|a:相似"
similarly hereinafter,d:下同
simile,"n:明喻,譬喻"
similitude,"n:相似性,外表,样子|a:相似"
simmer,"v:炖,煨|n:分离器"
simmer down,"v:镇静,冷却"
simmer in water,v:煎
simmer with anger,v:怒不可遏
simmer with laughter,v:忍俊不禁
simmer with rage,v:怒火中烧
simon,n:西蒙
simon pure,n:真人
simper,v:傻笑|n:傻笑
simple,"a:约,轻巧|n:散体,单体|d:略"
simple aperture,n:单口
simple eye,n:单眼
simple fare,n:粗茶淡饭
simple food,n:粗茶淡饭
simple fraction,n:简分数
simple harmonic motion,n:简谐运动
simple interest,n:单利
simple leaf,n:单叶
simple machine,n:简单机械
simple meal,"n:家常便饭,便饭,便餐"
simple package,n:简装
simple proportion,"n:单比,单比例"
simple recipe,n:单方
simple sentence,n:简单句
simple simon,n:傻瓜
simple stage property,n:切末
simple sugar,n:单糖
simple tone,n:纯音
simpleminded,"a:老实,傻呵呵"
simple-minded,a:傻乎乎
simpleton,"n:傻瓜,憨子,呆子,傻子,痴子"
simplex,a:单向
simplicity,"n:简单,单纯,朴素,天真,质朴,简易,轻便,无知,诚实,愚钝,卑贱|a:简单"
simplification,n:简化|v:简化
simplified chinese character,"n:简化字,简化汉字,简体字"
simplified chinese characters,"n:简化汉字,简体字"
simplified edition,n:简本
simplified form,n:简体字
simplified schematic,n:简图
simplify,"v:简化,删繁就简,简缩|d:略"
simplify chinese characters,v:简化汉字
simplify complicated material,v:删繁就简
simplify matters,"v:简单化,省事"
simplifying,v:简化
simply,"d:简单,简直,极,仅仅,干脆,非常,只是,便,索性,无非,的确,单单,活,绝对,死活,硬是,高低,直,只顾|n:高低"
simply constructed,v:简易
simply equipped,v:简易
simply laughed,v:付之一笑
simply must,n:非
simulacrum,"n:幻影,影像,影,像"
simulate,"v:模拟,假装,模仿|a:仿真"
simulate solemnity,v:道貌岸然
simulation,"n:模拟,仿真,拟态,假装|a:仿真"
simulator,"n:模拟器,仿真器"
simulcast,v:联播
simultaneity,n:同时
simultaneous,"a:带,平行,一齐|n:同声|v:平行"
simultaneous broadcast,n:联播
simultaneous existence of,n:并存
simultaneous translation installation,n:译意风
simultaneously,"d:同时,并,一齐,不约而同,兼,交,一边,一面,齐"
sin,"n:罪过,罪,罪孽,过失,罪戾|v:犯"
sin against,n:违犯
sinanthropus yuanmouensis,n:元谋猿人
since,"p:自从,自|c:打,既,既是,打从|d:于今,以来|n:以来"
since childhood,p:从小
since remote antiquity,p:古往今来
since remotest times,p:自古以来
sincere,"a:真诚,诚恳,真心实意,真心,诚实,衷心,诚挚,恳切,诚心诚意,由衷,真挚,赤,惇,至诚,款,悫,纯真,敦,浑厚,悃诚,亲切,肫,诚,笃,谨,真率,挚,诚笃,恳,恳挚,拳拳,实心|d:谨"
sincere advice,n:忠告
sincere desire,n:诚心
sincere feeling,"n:情愫,忱,愫,厚意"
sincere talk,n:真心话
sincere words,n:由衷之言
sincerely,"d:真心诚意,由衷,真心实意|a:真心诚意"
sincerely advise,v:忠告
sincerely believe in,v:笃信
sincerely invite,v:敦聘
sincerely wish,v:馨香祷祝
sincerity,"n:诚意,真诚,诚实,真心实意,真实,诚心,真挚,诚,纯粹,肝胆,笃实,襟怀坦白,情愫,真心,愫"
sine,"n:正弦,正弦曲线"
sine qua non,n:必要条件
sinecure,n:闲职
sinew,"n:筋,肌肉,体力,主力,资源,腱|v:支持"
sinfonia,"n:序曲,交响乐"
sinful,v:罪孽深重|a:罪孽深重
sing,"v:唱,唱歌,歌唱,演唱,歌颂,称赞,吟诵,歌吟,鸣唱,吟唱,赞美,卖唱|n:歌"
sing a duet,v:一唱一和
sing a round,v:轮唱
sing different tunes,v:唱对台戏
sing heartily,v:引吭高歌
sing in chorus,v:齐唱
sing in duet,v:一唱一和
sing loudly,"v:高唱,高歌,引吭高歌"
sing opera arias,v:清唱
sing with spirit,v:高唱
singapore,n:新加坡
singe,"v:燎,损害,烧灼"
singe-broadsword event,n:单刀
singer,"n:歌手,诗人,鸣禽"
singing,"n:歌声,鸟鸣,唱歌,声乐,唱功,歌咏,唱工|v:耳鸣"
singing bird,n:鸣禽
singing performance,n:演唱会
singing school,n:拷问
singing star,n:歌星
singing voice,"n:乐声,歌声"
singing with actions,n:表演唱
single,"n:单,只,单打|a:纯一,孤独|v:单一|d:独"
single blessedness,n:独身
single consent,n:一厢情愿
single crystal,"n:单晶,单晶体,单晶硅|a:单晶"
single cylinder,n:单缸
single drug prescription,n:单方
single entry,n:单式
single face,n:单面
single file,"n:单行,一路"
single fraction,n:简分数
single handed,n:匹马单枪
single harvest rice,n:单季稻
single minded,a:纯
single morpheme word,n:单纯词
single out,"v:抉,挑选"
single phase,n:单相
single precision,n:单精度
single side,n:单面
single ticket,n:单程票
single to single,a:一对一
single wire,n:单线
single-broadsword event,n:单刀
single-candidate election,n:等额选举
single-handed,"a:单人独马,单枪匹马"
single-libe,a:单瓣
single-line battle array,n:一字长蛇阵
single-log bridge,n:独木桥
single-minded,a:专一
single-morpheme word,n:单词
singleness,"n:单一,专一性|a:单一"
singleness of heart,n:赤诚
single-party system,n:一党制
single-phase,a:单相
single-plank bridge,n:杓
singles,n:单打
singlestick,n:剑术
single-storey house,n:平房
singlet,"n:背心,汗衫,汗背心,单线|a:单一"
singly,d:单
singsong,n:单调
singular,a:奇特|n:单数
singular in temperament,n:怪模怪样
singular number,"n:单数,数"
singularity,"n:非凡,奇特,特性,特别,异常,单一,怪癖"
singularly,"d:格外,异常,个别,单独"
sinister,"a:阴险,险恶,毒辣,阴谋,阴,阴毒,黑,险"
sinister means,n:阴着儿
sinister plot,n:鬼
sinister smile,n:奸笑
sinister wind,n:阴风
sinistral,a:左撇子
sinitic,"n:汉语,中文"
sink,"v:沉没,沉,下沉,坐|n:海洋,阴沟,洼地|a:凹"
sink a feud,v:言归于好
sink a well,v:凿井
sink down,"v:降低,瘪,沉没"
sink flow,v:汇流
sink in,"v:陷落,眍"
sink into,"v:落水,陷落,陷入,堕入,坠落,沉沦,陷于"
sink into oblivion,v:泯没
sink low,v:堕落
sinkage,"n:低洼地,下沉|v:沉陷"
sinkbox,n:沉箱
sinker,n:坠子
sinkiang,n:新疆
sinking,"n:孔,沉没,衰弱,投资|v:没落,淹没"
sinner,"n:罪人,无赖"
sino-foreign joint venture,n:中外合资
sinologist,n:汉学家
sinologue,n:汉学家
sinology,n:汉学
sinter,v:烧结|n:灰
sintering,v:烧结|n:烧结
sinuate,"v:弯曲,曲折"
sinuation,"n:弯曲,曲折"
sinuosity,"n:弯曲,曲折,起伏"
sinus,"n:窦,弯曲,穴,湾,凹,弯"
sinusoid,n:正弦曲线
sip,"v:呷,啜饮,抿"
sip at,v:啜饮
siphon,"n:虹吸|v:虹吸,吮吸|a:虹吸"
siphon age,n:虹吸现象
siphon pipe,n:虹吸管
siphonate,n:管状
siping,n:四平
sippet,n:碎片
sipunculid,n:星虫
sipunculoid,n:星虫
sir,"n:先生,阁下,爵士,各位,君,客官,早"
sircar,"n:总管,老爷,政府,主人"
sirdar,"n:达官贵人,贵族,司令官,首领,将军"
sire,"v:生殖,产生,创作|n:祖先,作者"
siren,"n:警报器,警笛,汽笛,妖女"
siriasis,v:中暑|n:中暑
siriue,n:天狼星
sirius,n:天狼星
sirkar,"n:政府,老爷,主人,总管"
sirloin,"n:牛腩,腩"
sirop,n:糖浆
sirra,n:小子
sirrah,n:小子
sirs,r:诸位
sisel,n:土拨鼠
sishui river,n:泗水
siskin,"n:黄雀,金翅雀"
sisnge,v:损伤
sissy,"n:娘娘腔,少女,胆小鬼"
sister,"n:妹妹,姐姐,姐妹,姊,妹,修女,护士,姐,老姐儿,护士长,妹子"
sister-in-law,"n:嫂子,弟媳,弟妇,弟妹,堂姐妹,大姨子,小姑子"
sisters,"n:姊妹,姐妹,姐儿,姐儿们"
sister's daughter,"n:外甥女,甥女"
sister's husband,n:娅
sister's son,"n:外甥,甥"
sit,"v:坐,起来,开会,孵,袖手旁观,骑,就座,坐落,栖息,出席,卧,适合,听讲,位于,照料,折磨,应试,逆来顺受,扎营"
sit at leisure,v:闲坐
sit at session,v:开审
sit by,v:袖手旁观
sit cross-legged,"v:跏趺,趺坐"
sit down,"v:逆来顺受,扎营"
sit on eggs,v:孵
sit on thorns,"v:坐立不安,局促不安"
sit opposite,v:对坐
sit quietly,"v:静坐,坐功"
sit rigidly upright,v:正襟危坐
sit silently,v:默坐
sit square,v:正襟危坐
sit tight,v:固执己见
sit under,v:听讲
sit up,v:起来
sit up properly,v:正襟危坐
sit uprightly,v:端坐
sit with,v:照料
sitcom,n:连续剧
sit-down,n:坐下
site,"n:地点,现场,地,位置,场地,遗址,地基,场所,场,网站,去处|v:安放"
sith,"p:之后,以前"
sitology,n:营养学
sitting,"n:坐,开会,一口气,一气,一股劲儿|a:一下子|v:孵卵"
sitting room,"n:起居室,客厅"
sitting statue,n:坐像
situate,"v:位于,处于"
situate at,v:位于
situate in,v:位于
situated,a:位于
situation,"n:情况,形势,局势,局面,处境,地,情形,地位,工作,情势,境地,位置,场合,职位,事态,情境,关系,地步,景,职业,景况,场所,情,时势,气候,时局,情事,势,态势,阵势,境遇,步,地点,事机,况,涨落,阵脚,状,局,境"
situp,n:仰卧起坐
situs,"n:位置,地点"
siwash,n:印第安人
six,a:六
six hollow organs,n:六腑
six livestocks,n:六畜
six skills,n:六艺
siyang county,n:泗阳
sizable,a:可观
size,"n:大小,大,尺寸,规模,尺码,体积,粒度,长度,质量,号,能力,个头,个儿,特性,巨大,个头儿|v:上浆,估量"
size one,v:头号
size up,"v:判断,估量,量"
size up to,v:不相上下
size water,n:胶水
sizing,"v:上浆,分级|d:分级|n:填料"
sizzard,n:闷热
skag,"n:海洛因,香烟"
skate,"n:溜冰鞋,滑冰,溜冰|v:飞跑,掠过"
skateboard,n:滑板
skates,n:冰鞋
skating,"v:溜冰,滑冰|n:溜冰,滑冰"
skating boots,n:冰鞋
skating rink,n:冰场
skating-rink,"n:滑冰场,溜冰场"
skean,n:短剑
skedaddle,"n:溃逃,逃走|v:逃走"
skeesicks,"n:恶棍,流氓"
skeeter,n:蚊子
skein,"n:绞,束,混乱,纠缠|v:绞"
skein of sorrow,n:愁绪
skeletal muscle,n:骨骼肌
skeleton,"n:骨骼,骨架,骷髅,尸骨,骨头架子,架子,骨架子,骸骨,骨干,骨殖,枯骨,骸,基干,脉络,尸骸"
skeleton drawing,n:草图
skeleton frame,n:框架
skeleton layout,n:草图
skeleton shrimp,n:麦秆虫
skeletonize,"v:概述,节略"
skellum,"n:无赖,流氓"
skelp,n:管材|v:催促
skep,n:柳条筐
skepticism,n:怀疑论
skerry,n:礁
sketch,"n:草图,素描|v:概述,勾画,简述"
sketch box,n:书箱
sketch drawing,"n:草图,简图"
sketch plan,n:草图
sketch survey,n:草测
sketch table,n:略表
sketchbook,n:小品文
sketching,v:草图|n:草图
sketchy,"a:粗略,简略,简约|d:略"
skew,"v:偏移,歪斜|a:斜"
skew back,v:底座
skewer,"n:扦子,刀"
skewing,v:偏移
skewness,"n:畸变,偏斜"
ski,v:滑雪|n:滑雪板
skid,"n:滑道,刹车,垫板,制动器,导轨,溜滑,煞车|v:打滑,煞车|a:溜滑"
skid bank,n:冷床
skid chain,n:防滑链
skiddoo,v:走开
skidway,n:滑道
skies,n:天气
skiff,"n:小艇,扁舟,轻舟"
skiing,v:滑雪
skilful,"a:纯熟,纯,巧"
skilful management,n:取巧
skilful method,n:窍门
skilful writer,n:秀才
skill,"n:技术,技巧,技能,熟练,能,巧妙,技艺,本领,知识,本事,手艺,功夫,圆熟,解数,能耐,身手,手法,艺,艺术,把式,伎,技,技工,球技,术,工力,理解力,道,工,把势,道行,功,技法,一手|v:能"
skill in wushu,n:武艺
skill of dancing,"n:舞艺,舞技"
skilled,"a:熟练,精,烂熟,目无全牛,娴,熟,娴熟"
skilled athlete,n:健儿
skilled craftsmen,n:能工巧匠
skilled in,a:熟练
skilled man,n:硬手
skilled workers,n:能工巧匠
skilled workman,n:巧匠
skillful,"a:练,圆熟,纯熟,巧,灵巧,拿手|v:练"
skillful craftsman,n:能工巧匠
skillful force,n:巧劲
skillful hand,n:巧手
skillful writer,n:秀才
skim,"v:掠过,撇,略读,逃税,点"
skim over,"v:掠过,掠"
skim the surface,v:走马观花
skimeister,n:滑雪
skimmer,"n:蜻蜓,帽子"
skimmer blade,n:刮刀
skimming machine,n:离心机
skimp,"v:节省,敷衍,克扣"
skin,"n:皮肤,皮|v:覆盖,夹带,作弊"
skin a flint,"v:锱铢必较,斤斤计较"
skin diving,"n:潜水,潜泳"
skin layer,n:表层
skin needling,v:毛刺
skin plate,n:面板
skin ulcer,n:疮
skinflint,"n:守财奴,吝啬鬼,小气鬼"
skin-head,n:光头
skink,n:石龙子
skinned wire,n:裸线
skinner,n:皮货商
skinny,"a:皮包骨,皮包骨头,枯瘦|n:柴"
skip,"v:空行,逃亡|n:遗漏,省略,跳跃"
skip a grade,"v:跳级,越级"
skip a line,v:跳行
skip area,v:死区
skip classes,v:旷
skip distance,v:跨度
skip hoist,v:吊桶
skip over,"v:跳,躐"
skip school,v:逃学
skip school work,v:旷课
skipper,"n:船长,飞鱼,机长"
skipper butterfly,n:稻苞虫
skipping,a:跑跑跳跳
skippingly,d:省去
skirmish,"v:搜索,侦察|n:前哨战"
skirmisher,"n:哨兵,散兵"
skirt,"n:裙子,裙,长裙|v:抹"
skirt plate,n:挡板
skirting,v:边缘
skit,n:活报剧
skittish,"a:轻佻,佻"
skittle,"n:锥体,胡说|v:耽误,失误"
skive,v:磨
skiving,v:刮削
skivvy,"n:汗衫,内衣"
skoal,i:干杯
skulduggery,"n:欺骗,诡计,欺诈"
skulk,"v:偷偷摸摸,躲避,偷懒,躲藏,鬼鬼祟祟"
skulk away,v:开小差
skulk off,v:抱头鼠窜
skull,"n:颅骨,头骨,头颅,脑壳,脑颅,头盖骨,头顶,颅,头脑,智能"
skull cap,n:瓜皮帽
skull patch,n:翻皮
skullcap,"n:便帽,瓜皮帽,小帽,帽盔儿,帽盔"
skullduggery,"n:欺骗,诡计,欺诈"
skunk,n:黄鼠狼|v:欺骗
sky,"n:天空,天,天气,空,星空,霄汉,天蓝色,云天"
sky blue,"n:蔚蓝色,天蓝,天蓝色"
sky cover,n:云量
sky pond,n:天池
skycraper,n:巨人
skyful,n:满天
skyjack,v:劫机
skyjacking,n:劫机
skylark,n:云雀
skylight,"n:天窗,天光,天井"
skyline,"n:轮廓,地平线,天边,天涯"
skyray,n:天光
skyrocket,"v:飞涨,猛增,扶摇直上,盲动,猛涨|n:焰火"
skyscraper,"n:摩天楼,摩天大厦"
skyscraping,a:摩天
skyway,n:航线
slab,"n:石板,平板,铁块,土块,片,板材"
slabber,n:口水
slabstone,n:石板
slack,"v:放松,偷懒,放慢,休息|a:呆滞,淡|n:煤渣,淡季,空隙,休息,工装,静止,松弛"
slack month,n:淡月
slack off,"v:放松,减慢,泄劲,衰弱"
slack suit,n:便装
slack up,v:减慢
slacken,"v:放慢,放松,减弱,松,减少,松劲,怠惰,弛,松懈,休息,松弛,削弱"
slacken one's effort,v:泄劲
slacken one's efforts,v:松松垮垮
slacken one's vigilance,"v:麻痹,麻痹大意"
slacker,"n:逃兵,懒鬼,懒虫"
slackness,n:闲散
slacks,n:女裤
slag,"n:炉渣,釉料,残渣,矿渣"
slag muck,n:废渣
slag pin hole,n:砂眼
slake,"v:满足,消除,扑灭,消化,消散,缓和,停,解,平息"
slaked lime,n:熟石灰
slam,n:侮辱|v:猛攻
slam dunk,n:扣篮
slammer,n:监狱
slander,"v:诋毁,诽谤|n:污蔑,毁谤,口语|a:谗"
slandering words,n:口语
slanderous gossip,n:风言风语
slanderous talk,n:谗言
slang,"n:俚语,行话,口头语,黑话,隐语,切口"
slant,"n:斜面,斜坡,意见,态度|v:偏斜,斜视,歪斜,打斜|a:歪"
slant hole,n:斜井
slant in,v:潲
slant rhyme,n:如
slanted,v:偏斜
slanting,"a:斜|v:偏,坡"
slanting stitch,n:对角线
slap,"v:拍,打,拍打|n:峡谷,侮辱|d:迎面"
slap the face,v:掌嘴
slapbang,"d:猛然,突然"
slapdash,"a:粗线条,粗枝大叶|n:草率,鲁莽|v:草拟"
slaphappy,a:头昏眼花
slapstick,n:闹剧
slash,"v:削减,鞭打|n:斜线号,伤痕,斜线,减少,枝桠,刀痕"
slash-and-burn,a:刀耕火种
slash-and-burn cultivation,n:刀耕火种
slat,"v:打,敲打,击"
slate,"n:石板,板岩,记录|v:责骂,鞭打,痛打"
slate cod croaker,n:鳘
slate pencil,n:石笔
slather,v:挥霍|n:大量
slating,n:责骂|v:训斥
slattern,"n:荡妇,盐场,妓女"
slatternly,a:邋遢
slaughter,"v:杀害,杀戮,惨杀,诛戮,残害,残杀,屠戮|n:杀戮"
slaughter house,n:屠宰场
slaughterer,"n:刽子手,屠夫"
slaughterhouse,"n:屠宰场,屠场,汤锅"
slav,n:斯拉夫
slave,"n:奴隶,从动,奴,家奴|a:从动"
slave drive,n:从动
slave girl,"n:婢,丫鬟,婢女"
slave system,n:奴隶制度
slaveholder,n:奴隶主
slaver,"n:口水,唾液,奉承,吐沫|v:奉承,流口水,垂涎"
slavery,"n:奴隶制,奴役,束缚,服从|v:服从"
slavishly follow,v:蹈袭
slavishness,n:奴性
slay,"v:杀死,杀害,谋杀,戮,毁灭"
slayer,n:凶手
sleak,v:冲淡
sleave,n:纠缠
sled,n:雪橇|v:橇
sledge,"n:雪橇,扒犁,爬犁,冰橇"
sleek,"a:光滑,润泽,溜光|v:溜,滑动"
sleek moisten,n:润泽
sleeking,n:磨光|v:磨光
sleep,"v:睡,睡觉|n:静寂,麻痹"
sleep lightly,v:惊醒
sleep peacefully,v:高枕安卧
sleep soundly,"v:沉睡,熟睡"
sleep without undressing,n:枕戈待旦
sleepcoat,n:睡衣
sleeper,"n:卧车,卧铺,枕木,寝车,道木,轨枕,木枕,死人"
sleeper ticket,n:卧铺票
sleepers,n:枕木
sleepiness,"n:睡意,倦意,困倦,瞌睡"
sleeping,"v:静止,睡眠,休止"
sleeping bag,n:睡袋
sleeping berth,n:卧铺
sleeping cabin,"n:卧舱,卧车"
sleeping car,"n:卧车,寝车"
sleeping carriage,n:卧车
sleeping draught,n:安眠药
sleeping drug,n:蒙汗药
sleeping gown,n:睡袍
sleeping mat,n:饪
sleeping pad,n:褥子
sleeping pill,n:催眠药
sleepwalking,v:梦游
sleepy,"a:困,困倦,瞌睡,蒙胧"
sleepyhead,n:懒鬼
sleet,n:冻雨
sleeve,"n:袖子,衣袖,套,袖,套管,套筒,袖管,袖套,袖筒,书套,套子,外壳,轴套"
sleeve armpit part,n:袼
sleeve barrel,n:套筒
sleeve piece,n:套筒
sleeve pipe,n:轴套
sleeveless,a:坎肩
sleeveless garment,n:背心
sleeveless jacket,n:坎肩儿
sleeveless sweater,n:背心
sleeveless undershirt,n:汗背心
sleevelet,"n:套袖,罩袖"
sleeves,n:袖子
sleeving,v:套管
sleigh,"n:雪橇,冰橇,扒犁,爬犁"
sleight,"n:诡计,奸诈,策略,技巧,手法"
sleight of hand,n:魔术
sleight-of-mouth,n:耍嘴皮子
slender,"a:苗条,细,修长,纤细,细挑,窄,狭,纤纤,细条"
sleuth,"n:足迹,猎犬,警犬,侦探"
sleuth hound,n:猎犬
sleuthhound,n:警犬
slew,"n:旋转,回转,大量|v:旋转,回旋,回转"
slewing,n:固定|v:固定
slewing angulation,n:回转
slice,n:片|v:切开
slice off,"v:剽,切开"
slice open,v:劈开
slicing,v:切割
slick,"a:光滑|v:滑溜,整顿|d:正面"
slick opportunism,n:投机取巧
slicker,n:刮刀
slicle,n:断层
slide,"v:滑,滑动|n:滑行"
slide board,v:滑板
slide downhill,v:滑坡
